time;x;y
0.000000;564;332
0.001547;566;331
0.004929;568;331
0.006460;570;331
0.009542;573;331
0.015645;575;332
0.018449;577;334
0.022195;579;335
0.026654;581;336
0.028823;583;336
0.034213;586;336
0.035517;588;336
0.040943;589;336
0.046710;588;336
0.048984;589;335
0.050385;588;335
0.054778;589;334
0.065134;588;334
0.069701;588;333
0.076902;587;334
0.080433;587;333
0.088206;587;333
0.093315;587;333
0.094697;587;334
0.097007;587;334
0.102857;586;335
0.108742;586;334
0.110644;585;334
0.113459;584;335
0.128582;583;335
0.134770;583;335
0.137600;582;335
0.142654;582;335
0.144736;582;335
0.151798;582;335
0.155041;581;335
0.157204;582;334
0.163345;582;334
0.164867;582;334
0.168484;582;334
0.174379;582;334
