time;x1;y1;x2;y2
0.000000;634;426;636;55
0.031923;634;426;636;55
0.067654;634;426;636;55
0.099839;634;426;636;55
0.134793;634;426;636;55
0.168393;634;426;636;55
0.200979;634;426;636;55
0.233450;634;426;636;55
0.265507;634;426;636;55
0.301422;634;426;636;55
0.339302;634;426;636;55
0.377401;634;426;636;55
0.414040;634;426;636;55
0.446347;634;426;636;55
0.483721;634;426;636;55
0.516269;634;426;636;55
0.553523;634;426;636;55
0.789878;634;426;636;55
0.836045;634;426;636;55
0.874073;634;426;636;55
0.915310;634;426;635;55
0.986650;634;426;636;55
1.037039;634;426;636;55
1.092881;634;426;635;55
1.134732;634;426;635;55
1.169728;634;426;635;55
1.206102;634;426;636;55
1.245427;634;426;635;55
1.286500;634;426;635;55
1.378718;634;426;635;55
1.432918;634;426;635;55
1.504332;634;426;635;55
1.536664;634;426;635;55
1.572093;634;426;635;55
1.604429;634;426;635;55
1.636429;634;426;636;55
1.672002;634;426;635;55
1.704330;634;426;635;55
1.751896;634;426;635;55
1.792707;634;426;635;55
1.825140;634;426;636;55
1.860829;634;426;635;55
1.895167;634;426;635;55
1.926643;634;426;635;55
1.959084;634;426;635;55
2.003210;634;426;635;55
2.036186;634;426;635;55
2.071891;634;426;635;55
2.104488;634;426;635;55
2.138690;634;426;635;55
2.173824;634;426;636;55
2.206715;634;426;635;55
2.247016;634;426;635;55
2.286643;634;426;635;55
2.325322;634;426;635;55
2.369776;634;426;636;55
2.405928;634;426;635;55
2.437936;634;426;635;55
2.471112;634;426;636;55
2.505221;634;426;636;55
2.547392;634;426;636;55
2.582328;634;426;635;55
2.617147;634;426;635;55
2.653215;634;426;636;55
2.684521;634;426;635;55
2.717685;635;426;636;55
2.751512;637;426;636;55
2.786276;641;426;636;55
2.819227;646;426;636;55
2.852218;652;425;636;55
2.885968;659;425;636;55
2.917293;667;425;636;55
2.949453;675;424;636;55
2.981917;684;423;636;55
3.016789;694;422;637;55
3.052462;704;420;637;55
3.084511;715;419;637;55
3.118935;725;416;637;55
3.150294;736;414;637;55
3.183152;747;411;637;54
3.214499;757;408;637;54
3.251586;767;405;637;54
3.283899;777;402;637;54
3.316124;786;398;637;54
3.348392;795;395;637;54
3.384207;803;391;637;54
3.417498;811;388;809;409
3.448997;818;384;816;406
3.482446;825;381;823;402
3.514900;831;378;829;399
3.547108;836;375;835;396
3.578937;840;372;839;394
3.615476;843;371;841;393
3.647333;843;371;841;392
3.679695;842;371;840;393
3.711954;838;374;837;395
3.745119;832;377;830;398
3.776537;823;382;822;403
3.823000;812;387;811;409
3.854367;638;33;637;54
3.893784;638;33;637;54
3.926256;638;33;637;54
3.958407;638;33;637;54
3.990345;638;33;637;55
4.025050;638;33;637;55
4.063291;638;33;637;55
4.094534;638;33;637;55
4.127458;655;426;636;55
4.160349;637;426;636;55
4.194658;620;426;635;55
4.226887;605;425;635;55
4.263266;589;423;635;55
4.299667;637;32;635;55
4.332221;637;32;635;55
4.364377;546;416;635;55
4.397915;534;413;635;54
4.430172;522;410;635;54
4.470258;637;32;635;54
4.506836;497;402;635;54
4.538226;488;398;635;54
4.573943;480;395;635;54
4.606208;474;392;635;54
4.638947;472;391;635;54
4.671429;473;392;635;54
4.703803;477;393;635;54
4.735214;485;396;635;54
4.766329;496;401;635;54
4.798753;637;32;635;54
4.834237;530;411;635;54
4.866524;637;32;635;54
4.899194;637;32;635;55
4.938021;637;32;635;55
4.971192;637;32;635;55
5.002356;637;32;636;55
5.034431;638;33;636;55
5.066816;638;33;637;55
5.102919;638;33;637;55
5.134538;638;32;637;55
5.169177;765;406;637;54
5.200699;778;401;637;54
5.235156;788;397;636;54
5.267470;794;395;636;54
5.299581;797;394;636;54
5.331147;796;394;636;54
5.363837;792;396;636;54
5.396534;785;399;637;54
5.430900;776;402;637;54
5.463274;766;406;637;54
5.496433;754;409;637;54
5.529300;742;413;637;54
5.561463;729;416;637;55
5.593581;717;418;637;55
5.633678;704;420;637;55
5.665051;692;422;637;55
5.697348;682;423;637;55
5.728565;672;424;637;55
5.761010;664;425;636;55
5.793411;658;425;636;55
5.825451;653;426;636;55
5.858555;650;426;636;55
5.895115;648;426;636;55
5.926468;647;426;636;55
5.958702;645;426;636;55
5.998311;641;426;636;55
6.033671;636;426;636;55
6.066118;629;426;636;55
6.100252;621;425;635;55
6.132557;611;425;635;55
6.172174;601;424;635;55
6.204707;589;423;635;55
6.236965;577;421;635;55
6.268922;637;32;635;55
6.300286;551;417;635;55
6.332648;539;414;635;54
6.364449;527;411;635;54
6.401949;516;408;635;54
6.434909;506;405;635;54
6.467187;499;402;635;54
6.498390;494;400;635;54
6.530713;491;399;635;54
6.564251;492;399;635;54
6.595516;496;401;635;54
6.637119;502;403;635;54
6.673106;512;406;635;54
6.704375;525;410;635;54
6.736752;539;414;635;54
6.769166;637;32;635;55
6.801486;637;32;635;55
6.834701;637;32;635;55
6.871498;637;32;635;55
6.902970;637;32;635;55
6.935676;638;32;636;55
6.968355;638;32;636;55
7.002826;701;421;637;55
7.035536;711;419;637;55
7.069003;714;418;637;55
7.100339;717;418;637;55
7.139787;719;417;637;55
7.172443;719;417;637;55
7.204807;719;418;637;55
7.237181;717;418;637;55
7.268475;715;419;637;55
7.301261;714;419;637;55
7.332547;713;419;637;55
7.368029;714;419;637;55
7.400367;716;418;637;55
7.433306;720;418;637;55
7.465639;724;417;637;55
7.496923;728;416;637;55
7.534768;732;415;637;55
7.566241;737;414;637;55
7.599239;741;413;637;54
7.632145;744;412;637;54
7.664614;748;411;637;54
7.695793;751;410;637;54
7.728459;754;409;637;54
7.763564;756;408;637;54
7.794947;758;408;637;54
7.841013;759;408;637;54
7.872380;760;407;637;54
7.904680;760;407;637;54
7.937034;760;407;637;54
7.969322;760;407;637;54
8.001515;761;407;637;54
8.035920;762;406;637;54
8.067214;764;406;637;54
