time;x1;y1;x2;y2
0.000000;390;339;473;65
0.032788;389;337;473;69
0.064597;389;334;473;68
0.096773;388;331;473;68
0.128704;388;330;473;67
0.166333;386;329;473;67
0.197002;385;327;473;68
0.229132;384;326;473;68
0.265463;385;325;473;67
0.296933;385;325;473;68
0.329953;385;326;473;68
0.379110;387;327;473;69
0.399929;389;328;473;69
0.428665;392;329;473;68
0.464711;395;330;473;68
0.496608;398;332;473;68
0.528563;403;334;473;69
0.564710;407;336;473;69
0.597314;412;337;473;68
0.629388;418;338;473;68
0.664719;274;252;473;68
0.696759;274;253;473;69
0.729146;274;252;473;69
0.760729;274;252;473;68
0.796860;274;252;473;68
0.828979;274;252;473;68
0.860983;274;252;473;68
0.897314;274;252;473;68
0.928812;274;252;473;68
0.960779;297;342;473;68
0.998623;274;252;473;68
1.029219;274;252;473;68
1.060925;274;252;473;68
1.097747;274;252;473;68
1.128644;274;252;473;68
1.162270;297;342;473;68
1.196737;296;423;473;69
1.228851;296;423;473;69
1.260765;296;423;473;69
1.293057;461;244;473;68
1.328800;460;250;473;68
1.361502;458;256;473;69
1.401376;455;263;473;69
1.406899;461;244;473;69
1.462839;274;252;473;69
1.494619;274;252;473;69
1.526828;296;428;473;69
1.558897;297;341;473;69
1.598736;297;341;473;68
1.627139;297;342;473;68
1.658733;296;424;473;68
1.694753;296;424;473;69
1.726746;296;424;473;69
1.759453;296;424;473;69
1.794735;296;423;473;69
1.826980;296;423;473;69
1.859209;296;424;473;68
1.894808;296;424;473;69
1.926910;297;342;473;68
1.958772;296;424;473;68
1.994887;296;423;473;68
2.028035;296;423;473;69
2.059410;296;423;473;69
2.090783;297;342;473;68
2.126747;297;342;473;68
2.158825;297;341;473;68
2.190690;297;342;473;69
2.226825;297;341;272;271
2.258648;298;341;272;271
2.290777;298;341;272;271
2.329934;298;341;272;271
2.358902;299;342;272;271
2.390910;299;341;272;271
2.426725;300;342;272;271
2.458794;301;342;272;271
2.490766;301;342;272;271
2.526936;308;427;272;271
2.555267;303;426;272;271
2.591280;315;430;272;271
2.626901;315;423;273;271
2.658928;319;439;273;271
2.691056;320;426;273;271
2.722745;511;274;473;68
2.760571;275;252;473;68
2.791274;507;264;473;68
