time;x;y
0.000000;166;176
0.004983;166;176
0.036934;166;176
0.074456;174;175
0.104990;166;176
0.137118;166;176
0.168819;166;176
0.205846;166;176
0.239226;166;176
0.269284;166;176
0.304913;166;175
0.337473;166;175
0.369372;166;175
0.405174;166;175
0.437156;166;176
0.469436;166;176
0.504971;166;176
0.537417;166;176
0.569135;166;176
0.604904;166;176
0.637112;166;176
0.669018;166;176
0.701368;166;176
0.737482;166;176
0.769330;166;176
0.801600;166;176
0.836830;166;175
0.869060;166;176
0.901400;166;176
0.937471;166;176
0.969740;166;175
1.001070;164;176
1.037417;166;175
1.068904;166;175
1.104086;166;175
1.137124;166;175
1.168795;166;175
1.201292;166;175
1.237424;166;175
1.269518;166;175
1.304673;163;176
1.333494;166;176
1.369438;166;176
1.401090;166;176
1.435490;166;175
1.468831;166;175
1.501951;166;176
1.534766;166;176
1.568932;166;175
1.601458;166;175
1.632914;166;176
1.668938;174;176
1.701083;174;176
1.732868;174;176
1.768951;166;176
1.801298;166;176
1.833495;166;176
1.865519;166;176
1.901416;166;175
1.933424;166;176
1.965015;166;176
2.001143;164;176
2.033461;164;176
2.064842;166;176
2.101539;166;176
2.133022;166;175
2.164912;166;176
2.201111;166;176
2.233073;166;176
2.265159;166;176
2.301141;166;176
2.333048;166;176
2.364937;166;175
2.396959;166;175
2.432808;166;175
2.464916;166;175
2.497399;164;175
2.533443;166;175
2.564831;164;176
2.597186;166;175
2.632872;163;176
2.665729;163;176
2.697287;163;176
2.733118;163;176
2.765305;164;176
2.797479;166;175
2.833714;166;175
2.865149;166;176
2.900357;166;176
2.933536;166;176
2.965363;166;176
2.997006;166;176
3.029107;166;176
3.065518;166;176
3.097570;166;176
3.129474;166;176
3.165476;166;176
3.197108;166;175
3.229512;166;175
3.265007;171;175
3.297026;166;176
3.329386;166;176
3.365537;166;176
3.397520;166;176
3.429547;166;176
3.464989;166;176
3.497455;166;176
3.529485;166;175
3.560920;166;176
3.596983;166;176
3.629457;166;175
3.661543;166;175
3.697456;166;175
3.729832;166;175
3.761064;166;175
3.797500;166;175
3.828985;166;176
3.861490;166;176
3.897512;166;176
3.929629;166;175
3.961840;166;175
3.997506;166;176
4.029039;166;176
4.061159;166;176
4.093116;166;175
4.129563;166;175
4.161091;166;175
4.193003;166;176
4.229490;165;176
4.261522;166;176
4.293019;166;175
4.329526;430;209
4.360977;416;215
4.395547;397;223
4.429358;388;227
4.461095;376;230
4.493289;364;231
4.529201;366;231
4.561100;366;230
4.593560;370;229
4.629116;372;228
4.661609;374;228
4.693425;376;228
4.725533;378;228
4.761014;379;229
4.793331;380;229
4.825110;380;229
4.861118;382;229
4.893776;385;228
4.924979;386;227
4.961256;389;226
4.993535;390;221
5.024983;392;215
5.061151;391;212
5.093771;163;175
5.125676;166;176
5.160948;163;175
5.193599;166;175
5.225458;162;176
5.257087;166;176
5.293169;166;176
5.325370;166;175
5.357562;172;175
5.392944;166;175
5.425478;166;175
5.457515;166;176
5.493134;166;176
5.525001;166;176
5.557631;166;176
5.593510;166;175
5.625206;166;175
5.657525;166;176
5.692968;163;176
5.724972;166;176
5.757590;166;175
5.789132;166;175
5.825401;166;176
5.857186;166;176
5.892990;166;175
5.925543;166;175
5.957229;174;175
5.989222;174;175
6.025581;174;175
6.056891;174;175
6.089156;166;175
6.125556;166;175
6.157515;166;175
6.189219;166;176
6.225584;166;176
6.257355;166;176
6.289278;166;176
6.325527;166;176
6.357559;166;176
6.388892;166;176
6.421080;166;176
6.457574;166;176
6.489452;166;176
6.521664;166;176
6.557287;166;176
6.589444;174;175
6.620986;174;176
6.657264;166;176
6.689629;166;176
6.721591;166;176
6.757517;166;176
6.789628;166;176
6.821614;339;219
6.857454;329;221
6.889078;321;222
6.921636;315;222
6.952969;310;222
6.988905;308;222
7.021602;306;221
7.053625;305;220
7.089100;304;220
7.121696;304;219
7.153024;304;218
7.189648;304;218
7.221643;305;217
7.253750;306;217
7.289115;307;217
7.321529;308;216
7.353743;310;216
7.389563;312;216
7.421187;314;216
7.453291;315;216
7.485811;315;216
7.521344;313;216
7.553455;310;218
7.585221;305;220
7.621560;300;222
7.653598;292;226
7.685709;283;229
7.721193;273;234
7.754186;260;239
7.785692;248;245
7.821661;235;252
7.853323;223;261
7.885756;212;270
7.921684;201;281
7.953197;190;294
7.985677;180;307
