time;x;y
0.000000;564;332
0.001365;566;331
0.002569;568;331
0.005367;570;331
0.006763;573;331
0.010636;575;332
0.013046;577;334
0.016156;579;335
0.019327;581;336
0.020805;583;336
0.026369;586;336
0.027655;588;336
0.028880;589;336
0.036681;588;336
0.038948;589;335
0.043486;588;335
0.045426;589;334
0.049716;588;334
0.056675;588;333
0.058032;587;334
0.062642;587;333
0.064366;587;333
0.068866;587;333
0.074311;587;334
0.076396;587;334
0.078459;586;335
0.081852;586;334
0.084748;585;334
0.087772;584;335
0.091981;583;335
0.093872;583;335
0.095270;582;335
0.097024;582;335
0.100315;582;335
0.103279;582;335
0.104549;581;335
0.106682;582;334
0.109541;582;334
0.113442;582;334
