time;x;y
0.000000;172;252
0.003606;172;251
0.035675;171;251
0.067373;170;251
0.106496;168;252
0.135500;168;252
0.167741;166;253
0.203601;166;253
0.235777;166;253
0.267453;168;251
0.303679;170;250
0.336659;174;247
0.368692;179;245
0.403682;185;242
0.436489;193;239
0.467943;200;235
0.503718;206;230
0.536074;211;225
0.567677;215;219
0.599746;218;217
0.635762;219;214
0.667711;221;212
0.699648;223;210
0.735896;225;209
0.768083;225;207
0.799947;224;203
0.835714;223;201
0.867617;222;199
0.899658;220;193
0.935597;220;190
0.968325;220;186
0.999691;220;183
1.035607;222;183
1.068047;223;180
1.099715;225;180
1.135482;226;180
1.169271;227;180
1.202816;227;178
1.231693;228;178
1.267651;228;178
1.299729;229;179
1.331768;230;179
1.367988;230;179
1.399671;230;178
1.432078;230;177
1.467738;228;175
1.500022;225;174
1.531675;221;170
1.567617;215;166
1.600101;209;163
1.631959;203;162
1.667621;195;159
1.699669;186;157
1.731959;177;153
1.763695;170;150
1.799698;159;152
1.831547;148;154
1.863690;136;151
1.900223;126;151
1.931475;117;151
1.963961;108;152
1.999576;105;156
2.031616;105;149
2.063674;460;186
2.099689;460;187
2.131667;459;187
2.164544;459;187
2.199709;459;187
2.231905;458;187
2.264172;458;187
2.295570;458;187
2.331661;457;187
2.363648;457;187
2.395856;457;187
2.432221;457;187
2.463645;456;187
2.495966;456;187
2.531902;455;187
2.563770;454;187
2.595872;453;187
2.631831;452;187
2.663651;105;226
2.695745;105;223
2.731605;107;218
2.763579;116;210
2.795879;126;200
2.831660;134;192
2.863746;145;187
2.896125;154;180
2.927832;164;176
2.963995;172;171
2.996156;179;168
3.027863;184;167
3.063521;186;164
3.096236;190;164
3.128095;192;163
3.163573;194;163
3.195855;197;164
3.227649;199;163
3.263806;203;164
3.295718;208;166
3.327731;214;167
3.363619;222;171
3.396099;242;181
3.427802;250;191
3.459933;258;200
3.495879;264;207
3.527691;269;215
3.559968;272;223
3.595803;275;233
3.628664;278;240
3.659642;280;243
