time;x;y
0.000000;256;105
0.002663;253;104
0.005259;250;103
0.008026;246;101
0.029132;323;285
0.069363;323;285
0.090543;323;285
0.124356;323;285
0.174947;323;285
0.200743;323;285
0.235168;323;285
0.270259;323;285
0.299261;323;285
0.330235;323;285
0.364375;323;285
0.400373;323;285
0.453933;323;285
0.481813;323;285
0.495160;323;285
0.528139;323;285
0.554678;323;285
0.604579;323;285
0.637773;323;285
0.667294;323;285
0.707140;323;285
0.733069;323;285
0.764845;323;285
0.795657;323;285
0.827691;323;285
0.863069;323;285
0.894234;323;285
0.925201;323;285
0.954262;323;285
0.989093;323;285
1.051771;323;285
1.069158;323;285
1.101327;323;285
1.131391;323;285
1.162176;323;285
1.196857;323;285
1.228211;323;285
1.263972;323;285
1.292227;323;285
1.324138;323;285
1.355216;323;285
1.392177;323;285
1.417871;323;285
1.469596;323;285
1.505514;323;285
1.532787;323;285
1.566143;323;285
1.600644;323;285
1.638370;323;285
1.662595;323;285
1.690993;323;285
1.721901;323;285
1.753419;323;285
1.788082;323;285
1.819878;323;285
1.871104;323;285
1.899331;323;285
1.933151;323;285
1.965324;323;285
1.997128;323;285
2.027351;323;285
2.060594;323;285
2.089013;323;285
2.124153;323;285
2.155518;323;285
2.187858;324;285
2.217232;324;285
2.249674;323;285
2.298381;323;285
2.333200;323;285
2.366315;323;285
2.397210;323;285
2.428878;323;285
2.460586;323;285
2.495337;323;285
2.524926;323;285
2.556603;323;285
2.589425;323;285
2.620895;323;285
2.655626;324;285
2.683161;324;285
2.733149;323;285
2.764776;323;285
2.796516;323;285
2.827672;323;285
2.864514;323;285
2.894404;322;285
2.924241;322;285
2.953358;321;285
2.986384;321;285
3.018889;321;285
3.050190;321;285
3.081937;321;285
3.116501;321;285
3.168877;321;285
3.194447;321;285
3.227181;321;285
3.259128;321;285
3.293437;321;285
3.322942;322;285
3.358241;323;285
3.387447;325;285
3.419409;326;285
3.452442;329;285
3.482382;332;285
3.516127;335;285
3.567168;339;284
3.599061;343;284
3.627504;348;284
3.657963;354;283
3.689878;360;282
3.723353;366;281
3.753647;373;280
3.788892;379;279
3.821461;385;277
3.850265;391;276
3.881654;396;275
3.920149;401;273
3.947597;405;271
3.997130;410;270
4.027035;414;268
4.058450;418;267
4.092554;422;265
4.122694;425;264
4.156728;429;262
4.185174;432;261
4.216290;435;259
4.249039;439;257
4.283579;443;256
4.314859;446;254
4.344273;449;252
4.380126;452;251
4.429086;455;249
4.457547;457;247
4.492510;459;246
4.520418;461;246
4.555993;461;245
4.588275;462;245
4.617244;461;245
4.649220;460;246
4.680275;458;247
4.714998;456;249
4.747399;453;250
4.777323;450;252
4.809967;447;254
4.861132;443;256
4.889409;438;258
4.920803;433;261
4.952487;427;264
4.987004;419;267
5.020058;411;270
5.047554;400;274
5.081873;388;277
5.116685;375;280
5.143524;362;282
5.175940;349;284
5.220832;334;285
5.260540;321;285
5.287965;309;285
5.320081;296;285
5.351824;286;283
5.384967;273;282
5.417673;262;280
5.450208;258;278
5.481578;251;277
5.512809;245;275
5.545503;241;273
5.579410;237;270
5.609748;226;270
5.643565;223;268
5.695248;218;268
5.720650;217;267
5.753259;216;267
5.785173;216;267
5.820069;220;268
5.850610;225;269
5.886821;235;270
5.915192;241;273
5.949230;248;275
5.978205;257;278
6.011349;264;280
6.041519;280;282
6.072778;294;284
6.126086;309;285
6.151716;324;285
6.183692;339;284
6.216558;353;283
6.247398;367;281
6.281632;379;279
6.312703;390;276
6.343505;399;273
6.376631;406;271
6.407898;410;269
6.441664;414;268
6.471802;416;267
6.504508;416;267
6.551982;416;268
6.584490;414;269
6.615303;411;270
6.647411;407;271
6.679098;402;273
6.712763;396;275
6.748046;389;276
6.775326;382;278
6.809392;375;280
6.840028;368;281
6.879375;361;282
6.907834;355;283
6.955037;349;284
6.984514;343;284
7.015051;337;285
7.050641;332;285
7.079747;327;285
7.113396;321;285
7.147406;316;285
7.176869;309;285
7.209818;302;284
7.242135;295;284
7.271509;289;283
7.304260;278;282
7.335269;266;280
7.392370;262;278
7.418179;256;278
7.449857;250;277
7.484108;245;275
7.513810;241;273
7.548854;238;271
7.576908;234;270
7.608620;227;270
7.643810;227;270
7.674907;228;270
7.707948;236;270
7.737512;240;271
7.769396;243;274
7.819565;248;275
7.849222;255;277
7.882892;261;279
7.914331;266;280
7.946813;283;282
7.977038;294;284
8.008148;306;285
8.043345;317;285
8.073215;330;285
8.103335;341;284
8.137837;352;283
8.168860;361;282
8.199612;370;281
8.257457;378;279
8.281276;384;278
8.312328;389;277
8.346033;393;276
8.381504;395;276
8.407270;397;275
8.440273;397;275
8.471300;396;275
8.505962;394;276
8.537627;392;276
8.570111;389;277
8.600345;386;278
8.649183;383;278
8.679760;379;279
8.713659;374;280
8.746017;370;281
8.777960;365;282
8.808930;361;282
8.839998;356;283
8.873030;352;284
8.909068;347;284
8.937826;343;284
8.968387;337;285
9.000184;332;285
9.036215;325;285
9.084351;319;285
9.114169;311;285
9.148263;303;285
9.179230;296;284
9.211404;290;283
9.241487;279;283
9.275299;267;281
9.310413;263;280
9.340458;260;279
9.372648;255;278
9.403916;252;277
9.435149;248;277
9.469315;247;276
9.516221;245;276
9.548623;246;275
9.581785;246;276
9.612523;249;276
9.645297;251;277
9.674556;255;278
9.706832;260;279
9.741566;262;279
9.772101;265;281
9.805698;277;282
9.833316;287;283
9.869348;294;284
9.898866;303;285
9.947949;312;285
9.976906;320;285
10.011906;329;285
10.043829;337;285
10.075500;344;285
10.106361;351;284
10.138436;357;283
10.171299;363;282
10.203218;367;282
10.237291;371;281
10.266425;374;280
10.299394;376;280
10.350562;378;280
10.379135;378;280
10.409117;378;280
10.443920;378;280
10.473141;376;280
10.505634;375;280
10.539357;373;281
10.570394;371;281
10.599945;369;281
10.632947;366;282
10.667110;363;282
10.696665;360;283
10.727419;357;283
10.786109;354;283
10.808898;350;284
10.839464;346;284
10.875753;341;285
10.905767;336;285
10.937269;331;285
10.969356;325;285
10.999472;318;285
11.032438;311;285
11.062963;304;285
11.099049;298;284
11.128900;292;284
11.161191;285;283
11.209137;277;282
11.240045;267;281
11.273652;264;280
11.314706;262;279
11.335587;260;279
11.367137;260;278
11.401500;260;279
11.434207;260;278
11.467295;260;279
11.494737;261;279
11.530541;262;279
11.569302;263;280
11.592573;266;280
11.649180;273;282
11.672247;281;283
11.705335;288;283
11.738169;292;284
11.769220;298;284
11.798651;303;285
11.831492;309;285
11.869235;315;285
11.896400;321;285
11.928355;327;285
11.961944;332;285
11.994662;337;285
12.045048;342;284
12.071364;346;284
12.103982;350;284
12.138107;353;283
12.171076;356;283
12.199191;358;283
12.231228;360;283
12.264542;362;282
12.299617;363;282
12.329334;363;282
12.362291;363;282
12.393776;362;282
12.426381;362;282
12.475684;361;282
12.504393;360;283
12.537092;359;283
12.573889;357;283
12.601705;356;283
12.634826;353;283
12.663877;351;284
12.697654;348;284
12.728289;345;284
12.759407;342;284
12.791874;337;285
12.825548;333;285
12.861721;328;285
12.913689;323;285
12.938406;318;285
12.970125;313;285
13.002081;307;285
13.035261;302;285
13.065163;297;285
13.104459;293;284
13.130952;290;283
13.161398;285;283
13.194084;281;283
13.222926;276;283
13.259575;273;282
13.288453;272;282
13.339437;272;282
13.374109;274;282
13.400361;276;282
13.434243;278;283
13.465070;285;283
13.497199;288;283
13.528835;291;283
13.562310;293;284
13.591626;296;284
13.625701;299;285
