time;x;y
0.000000;131;220
0.008394;127;219
0.040960;125;220
0.072445;121;219
0.108582;118;219
0.140433;115;218
0.176605;112;218
0.204388;109;218
0.241510;105;217
0.273870;105;219
0.305513;105;219
0.340920;105;220
0.373072;105;221
0.404504;105;222
0.440864;118;220
0.472777;114;221
0.505095;111;221
0.540740;109;222
0.573064;108;222
0.604809;106;223
0.640817;106;223
0.672406;105;225
0.704725;105;225
0.737776;105;226
0.773475;105;226
0.805093;105;226
0.837261;105;225
0.872783;105;225
0.905160;105;224
0.937016;105;224
0.973179;105;224
1.004558;105;225
1.036698;105;224
1.073227;105;224
1.104828;105;224
1.137156;105;224
1.173269;105;224
1.205333;105;224
1.236934;105;224
1.272874;105;224
1.305011;105;223
1.337239;105;222
1.369165;105;220
1.405324;105;219
1.437352;105;218
1.469868;105;215
1.505309;105;213
1.537229;105;212
1.569316;105;212
1.605183;105;211
1.637027;105;211
1.669505;105;210
1.704911;105;210
1.737157;105;211
1.768951;105;211
1.805301;105;371
1.836951;105;370
1.869049;119;366
1.903544;120;366
1.937253;119;364
1.969475;118;362
2.001195;118;362
2.037516;118;363
2.069522;116;363
2.101496;112;362
2.137297;109;361
2.169166;106;363
2.201366;105;363
2.236961;527;128
2.269034;523;128
2.301679;520;127
2.337129;516;130
2.369599;512;109
2.401666;509;109
2.433298;507;109
2.469080;506;109
2.501150;506;109
2.533850;506;109
2.569425;506;109
2.601697;506;109
2.633607;506;109
2.669371;506;109
2.701428;506;109
2.733790;506;109
2.769227;506;109
2.801740;506;109
2.833449;506;109
2.869831;506;109
2.901763;506;109
2.933374;506;109
2.969708;506;109
3.001750;506;109
3.033519;506;109
3.066132;506;109
3.101359;506;109
3.133787;506;109
3.165739;506;109
3.201876;506;109
3.233635;506;109
3.265244;506;109
3.301461;506;109
3.333670;506;109
3.365327;506;109
3.401500;506;109
3.433527;506;109
3.465856;506;109
3.501947;506;109
3.533636;506;109
3.565294;506;109
3.597938;506;109
3.633567;506;109
3.665908;506;109
3.697836;506;109
3.734828;506;109
3.765706;506;109
3.797790;506;109
3.833814;506;109
3.865721;506;109
3.897848;506;109
3.934054;506;109
3.965490;506;109
3.998014;506;109
4.033614;506;109
4.065596;506;109
4.098090;506;109
4.130242;506;109
4.165901;506;109
4.197788;506;109
4.229897;506;109
4.267152;506;109
4.297697;506;109
4.329946;506;109
4.366180;506;109
4.398205;506;109
4.429631;506;109
4.466079;506;109
4.497661;506;109
4.530145;506;109
4.565902;305;371
4.597611;506;109
4.629833;506;109
