time;x;y
0.000000;564;332
0.001660;566;331
0.008791;568;331
0.014955;570;331
0.016284;573;331
0.032250;575;332
0.037264;577;334
0.042745;579;335
0.047202;581;336
0.051804;583;336
0.054540;586;336
0.057645;588;336
0.062334;589;336
0.064648;588;336
0.070805;589;335
0.074980;588;335
0.083237;589;334
0.084573;588;334
0.092617;588;333
0.106794;587;334
0.112930;587;333
0.116634;587;333
0.120408;587;333
0.122940;587;334
0.126461;587;334
0.130425;586;335
0.134169;586;334
0.135579;585;334
0.138054;584;335
0.144619;583;335
0.150861;583;335
0.152427;582;335
0.154342;582;335
0.155762;582;335
0.161936;582;335
