time;x1;y1;x2;y2
0.000000;207;242;173;217
0.033705;207;241;173;216
0.066774;207;241;173;215
0.097730;207;240;173;215
0.130586;207;240;173;215
0.166540;207;239;173;214
0.197864;207;239;173;214
0.230668;207;239;173;214
0.266472;207;238;173;214
0.301266;207;238;173;213
0.332084;207;238;173;213
0.371097;207;237;173;213
0.414564;207;237;173;213
0.445650;207;237;173;212
0.489644;207;237;173;212
0.524901;206;236;173;212
0.557541;206;236;172;211
0.589995;206;236;172;211
0.621219;206;236;172;211
0.654846;206;235;172;211
0.687595;206;235;171;211
0.723450;205;234;171;210
0.754640;205;234;171;210
0.785881;205;234;171;210
0.816676;205;233;170;209
0.848290;204;233;170;209
0.880551;204;232;170;208
0.912568;204;231;170;208
0.943816;205;233;170;209
0.974820;206;226;171;203
1.007097;207;223;172;200
1.038303;214;220;172;200
1.069415;215;217;173;197
1.100605;210;215;173;196
1.131765;216;213;174;194
1.164121;217;211;175;192
1.207101;218;209;175;192
1.238055;218;207;175;192
1.269066;218;206;174;192
1.301587;218;205;174;191
1.333029;219;203;174;189
1.365359;218;202;174;188
1.396299;218;200;174;187
1.428715;217;199;173;185
1.464191;216;197;172;183
1.496499;493;272;170;182
1.528634;493;272;168;180
1.560073;493;272;166;178
1.596655;493;272;163;178
1.627942;493;272;160;176
1.661790;493;272;157;175
1.696616;493;272;155;172
1.730635;493;272;152;171
1.761999;493;272;150;168
1.796769;493;271;147;165
1.828890;188;172;145;160
1.860309;185;168;141;157
1.896609;182;165;137;154
1.928133;178;161;133;150
1.960553;174;158;129;146
1.996524;170;154;125;141
2.028448;165;150;120;138
2.060223;161;147;115;136
2.092276;157;144;111;133
2.130147;154;142;107;132
2.160907;151;140;104;128
2.192725;493;271;101;125
2.228439;103;93;98;126
2.259932;101;92;96;125
2.292264;99;91;94;124
2.329432;97;91;92;123
2.360726;96;91;91;123
2.392256;95;91;91;121
2.428242;95;89;90;121
2.460013;94;89;89;121
2.492184;94;88;89;120
2.528504;93;89;88;121
2.560793;93;89;88;121
2.592317;93;89;88;121
2.628230;140;139;88;121
2.665713;140;140;88;122
2.696717;93;89;88;121
2.728874;95;90;65;179
2.761590;96;88;65;179
2.794098;96;89;66;180
2.826810;95;92;66;181
2.858580;96;90;67;181
2.894158;97;90;67;181
2.927464;97;92;68;182
2.959514;97;94;68;183
2.990894;98;94;69;184
3.026386;99;94;69;185
3.058584;99;96;70;186
3.090006;99;97;71;186
3.126200;100;96;71;187
3.159153;101;96;94;128
3.190112;101;96;94;129
