time;x1;y1;x2;y2
0.000000;218;153;215;155
0.012017;211;79;308;89
0.015038;219;153;215;156
0.030468;219;153;215;156
0.086412;219;147;214;156
0.127599;218;146;213;156
0.212280;217;146;212;155
0.221404;219;153;215;156
0.223208;214;144;208;155
0.253522;213;143;207;153
0.286767;211;143;205;154
0.320973;212;135;203;156
0.352701;210;136;200;156
0.360427;213;143;207;153
0.360992;211;143;205;154
0.369012;212;135;203;156
0.423242;205;136;195;154
0.425007;213;143;207;153
0.426121;211;143;205;154
0.432287;212;135;203;156
0.484894;199;136;189;154
0.521032;196;136;185;157
0.548436;194;136;183;155
0.584384;191;137;180;156
0.617931;189;137;178;156
0.653998;187;138;177;156
0.699155;187;138;176;157
0.751568;187;138;176;157
0.752479;187;139;177;157
0.784443;189;138;179;155
0.822714;191;138;180;158
0.862026;194;136;183;157
0.882445;187;153;186;154
0.918376;202;129;188;156
0.952571;206;127;191;155
0.982444;209;126;194;154
1.019092;212;125;197;154
1.045413;215;124;200;152
1.083038;205;149;203;151
1.119371;209;146;206;151
1.150309;212;146;209;150
1.182358;214;150;213;150
1.219250;218;149;217;149
1.250996;223;148;221;153
1.284115;230;146;226;153
1.320136;235;150;231;153
1.352408;239;150;233;166
1.387960;242;150;236;165
1.417943;253;146;243;164
1.449756;257;144;248;165
1.488347;259;146;252;166
1.505706;244;172;244;171
1.550538;261;149;254;167
1.582402;261;148;254;167
1.615251;260;148;253;167
1.653887;259;149;252;168
1.683380;258;150;250;169
1.716050;256;150;248;169
1.753231;255;150;246;169
1.783071;254;151;244;171
1.818200;253;151;242;171
1.851569;239;170;238;170
1.879748;242;156;237;170
1.916480;241;158;236;171
1.949431;240;159;235;172
1.984569;239;157;233;174
2.016498;236;153;231;161
2.049044;237;135;224;158
2.081224;215;157;215;155
2.117133;213;141;203;160
2.148526;199;144;190;163
2.180394;186;147;179;165
2.216473;176;143;172;153
2.249042;171;131;160;156
2.282482;160;132;150;159
2.313593;150;134;141;160
2.348864;141;136;133;161
2.380652;134;138;128;156
2.413173;128;140;123;158
2.448571;124;141;119;159
2.480458;121;141;116;160
2.512976;120;142;116;160
2.549156;121;142;116;160
2.580437;125;140;119;159
2.612378;130;140;124;158
2.663566;139;131;130;164
2.666380;119;146;115;174
2.713669;159;126;148;158
2.745781;163;144;159;154
2.781460;172;148;165;167
2.815760;185;145;177;164
2.846117;196;143;188;161
2.881389;212;130;198;159
2.913394;218;138;208;156
2.945517;217;156;217;154
2.979383;237;134;225;154
3.013804;235;152;230;159
3.045993;238;156;234;162
3.077370;242;158;237;164
3.113537;259;134;244;163
3.146527;262;134;248;163
3.177625;256;153;251;163
3.213880;258;152;253;163
3.245678;259;153;255;162
3.277661;260;152;256;162
3.314466;260;154;256;162
3.345878;260;156;257;161
3.383284;260;155;256;162
3.414336;260;154;256;162
3.448945;259;156;255;162
3.481986;258;156;254;163
3.509774;258;156;253;163
3.546391;257;156;252;163
3.577478;256;156;251;164
3.609636;256;153;250;164
3.645589;255;155;246;177
3.677789;254;156;245;177
3.709408;257;141;244;177
3.746263;256;141;242;177
3.777559;242;162;238;176
3.809486;242;162;237;176
3.845664;241;162;236;176
3.877918;241;162;236;176
3.910019;241;161;235;177
3.945559;240;161;234;177
3.977711;240;156;235;163
4.009686;238;155;234;162
4.037020;236;156;232;162
4.078731;235;153;231;160
4.109725;234;151;229;159
4.141480;239;135;226;159
4.178232;239;131;226;152
4.209746;236;132;223;152
4.242484;233;133;220;153
4.277927;218;153;217;152
4.312019;225;135;215;152
4.341807;221;136;212;152
4.378021;218;136;211;149
4.410040;215;137;209;149
4.442231;213;137;207;149
4.479411;213;134;206;150
4.509732;212;135;204;151
4.541929;211;136;203;152
4.577929;211;136;203;152
4.609913;210;138;203;152
4.642368;211;137;204;152
4.673848;211;137;205;152
4.710021;212;138;206;152
4.741822;213;138;207;151
4.773910;214;137;208;151
4.809639;216;137;209;151
4.843239;217;138;210;151
4.873555;218;138;211;150
4.909465;218;138;213;149
4.942778;218;137;213;149
4.973771;218;137;213;149
5.009564;219;137;214;149
5.042666;219;137;214;149
5.078576;216;148;214;149
5.112108;216;149;215;149
5.145926;216;150;215;149
5.173796;217;150;216;149
5.205561;217;151;217;149
5.241832;218;151;218;149
5.274378;219;151;218;151
5.307086;219;151;220;149
5.343468;220;152;220;151
5.374424;221;152;221;153
5.407239;222;151;222;153
5.442586;224;151;223;153
5.473626;225;151;224;153
5.506022;226;151;224;156
5.543134;227;151;224;156
5.574840;228;150;225;156
5.605716;228;153;226;156
5.645167;229;153;226;157
5.673581;229;154;227;157
5.705468;231;151;227;159
5.742250;232;151;227;159
5.773542;232;153;228;159
5.805445;233;152;228;159
5.839971;234;152;229;159
5.873610;235;152;228;168
5.905397;235;153;229;168
5.937369;236;153;229;169
5.973404;237;153;230;171
6.005725;237;154;231;171
6.038246;238;153;231;170
6.074180;239;153;232;170
6.105403;238;155;233;170
6.137523;238;155;233;169
6.173486;236;164;234;169
6.205437;236;165;234;169
6.237810;237;165;234;169
6.273942;237;165;235;169
6.306234;237;165;235;169
6.337545;237;165;235;169
6.369409;237;165;236;169
6.405387;237;165;236;169
6.446757;237;165;236;169
6.469330;237;165;235;169
6.505431;237;165;235;169
6.538123;237;166;235;169
6.569513;237;166;235;169
6.606031;237;166;235;169
6.637807;236;168;235;169
6.670166;236;168;235;169
6.705570;236;168;235;169
6.737362;236;168;235;169
6.769612;237;168;235;169
6.805339;237;168;235;168
6.839098;237;168;236;169
6.869365;237;169;236;169
6.901429;237;169;236;169
6.937453;237;169;236;169
6.969468;237;169;236;169
7.001375;237;169;236;169
7.037427;237;169;236;170
7.069361;237;170;235;170
7.102056;236;170;235;170
7.137373;236;170;235;171
7.169495;236;170;235;171
7.201384;236;171;235;171
7.237562;236;171;235;171
7.269438;236;171;235;171
7.302574;236;171;235;171
7.337429;236;171;235;171
7.369432;236;171;235;172
7.401560;236;171;235;171
7.437442;236;171;235;171
7.470436;237;171;236;172
7.501460;237;171;236;172
7.533477;237;171;236;172
7.569386;237;171;235;172
7.601405;241;159;235;172
7.633621;241;158;235;173
7.669367;241;158;234;173
7.701388;240;158;233;172
7.733492;239;154;232;172
7.770549;237;153;232;160
7.801920;236;149;230;160
7.833748;235;146;228;157
7.869836;230;150;228;150
7.901421;238;130;225;150
7.933942;236;130;222;151
7.970280;234;130;220;151
8.001508;219;152;218;151
8.033462;217;152;216;152
8.065425;216;152;214;152
8.101349;226;132;213;152
8.134033;224;132;211;153
8.165584;222;133;210;153
8.201994;221;133;210;153
8.233376;221;133;209;153
8.265428;221;133;209;153
8.301383;221;132;209;153
8.333328;221;132;210;153
8.365439;223;132;210;153
8.401365;212;153;211;153
8.434081;213;153;212;152
8.465369;214;152;213;152
8.502137;215;152;215;151
8.533530;217;151;216;151
8.565401;218;151;217;151
8.597674;218;153;217;157
8.633502;220;155;218;157
8.665491;221;154;220;157
8.697433;223;154;220;159
8.734026;225;153;221;160
8.765379;226;153;222;159
8.797379;227;153;223;159
8.833449;228;153;224;159
8.865369;229;152;225;158
8.897748;229;155;225;160
8.933360;230;154;226;159
8.965409;231;152;224;174
8.997666;231;153;224;174
9.033433;231;153;224;174
9.065374;231;154;224;174
9.097349;231;154;224;174
9.133390;231;154;224;174
9.165292;231;153;226;160
