time;x1;y1;x2;y2
0.000000;1181;68;490;52
0.033081;1180;67;489;50
0.066058;564;564;489;50
0.098753;564;564;489;51
0.130963;565;565;489;51
0.162942;565;565;489;51
0.195713;565;565;489;51
0.228025;565;565;489;51
0.260555;1181;68;490;52
0.292632;1181;68;490;52
0.324477;1181;68;490;52
0.356446;1181;68;489;51
0.388759;564;566;490;52
0.420828;564;566;489;51
0.452768;1181;67;489;50
0.484797;563;566;489;51
0.517614;563;566;489;51
0.555383;563;566;489;50
0.597472;563;566;490;52
0.629622;563;566;562;588
0.662942;563;566;562;588
0.696595;563;566;562;588
0.729702;563;567;489;51
0.762850;563;567;561;588
0.799928;563;567;561;589
0.835479;562;567;561;589
0.867854;562;567;561;589
0.900199;562;568;560;589
0.951055;561;568;560;589
0.983768;561;568;489;51
1.019835;561;568;560;589
1.051295;561;568;559;590
1.085356;561;568;559;590
1.117861;561;568;489;51
1.152383;560;568;489;50
1.184425;560;568;559;590
1.218368;560;568;559;590
1.249622;560;568;559;590
1.280827;560;568;559;590
1.323853;560;568;559;590
1.361005;560;569;559;590
1.401860;560;568;559;590
1.434516;560;568;559;590
1.475555;560;568;559;590
1.507827;560;569;559;590
1.541084;560;569;559;590
1.572761;561;569;559;590
1.604077;561;569;559;590
1.644611;561;569;559;590
1.677421;561;569;560;590
1.710110;1181;67;560;590
1.743152;562;569;560;590
1.774708;562;569;561;590
1.806161;563;569;561;590
1.838647;563;570;490;51
1.872579;563;570;489;51
1.909593;563;570;562;591
1.946168;563;570;562;591
1.978254;564;570;489;51
2.025392;1181;67;489;50
2.060596;565;571;489;51
2.098594;566;571;489;51
2.130944;567;571;489;51
2.162843;568;570;489;51
2.197225;568;570;489;51
2.229098;569;570;489;51
2.261973;1181;67;489;51
2.295100;1181;67;489;51
2.327353;1181;67;489;51
2.358687;1181;67;489;51
2.391790;1181;67;489;51
2.425180;1181;67;489;51
2.457676;1181;67;489;51
2.489961;1181;67;489;51
2.522271;1181;67;489;51
2.554824;1181;67;489;51
2.592649;1181;67;579;587
2.624463;1181;67;579;588
2.657481;580;568;579;588
2.693220;580;569;579;588
2.726453;580;569;578;589
2.758148;1181;67;578;589
2.793933;1181;67;578;589
2.825453;1181;67;578;589
2.860266;579;570;578;590
2.893952;579;570;577;590
2.925812;1181;67;577;590
2.958078;1181;67;577;590
2.992857;1181;67;576;591
3.025053;1181;68;576;591
