time;x1;y1;x2;y2
0.000000;634;426;636;55
0.034714;634;426;636;55
0.067169;634;426;636;55
0.100531;634;426;636;55
0.134114;634;426;636;55
0.168255;634;426;636;55
0.204671;634;426;636;55
0.240256;634;426;636;55
0.273361;634;426;636;55
0.308418;634;426;636;55
0.342138;634;426;636;55
0.377757;634;426;636;55
0.413827;634;426;636;55
0.451229;634;426;636;55
0.491537;634;426;636;55
0.565075;634;426;636;55
0.605315;634;426;636;55
0.640734;634;426;636;55
0.682570;634;426;636;55
0.721913;634;426;636;55
0.758515;634;426;635;55
0.791240;634;426;636;55
0.826612;634;426;636;55
0.860894;634;426;635;55
0.897744;634;426;635;55
0.933005;634;426;635;55
0.966923;634;426;636;55
1.003448;634;426;635;55
1.039579;634;426;635;55
1.074654;634;426;635;55
1.107473;634;426;635;55
1.144411;634;426;635;55
1.177720;634;426;635;55
1.215484;634;426;635;55
1.260230;634;426;635;55
1.294125;634;426;636;55
1.335474;634;426;635;55
1.370255;634;426;635;55
1.405587;634;426;635;55
1.438165;634;426;635;55
1.472877;634;426;636;55
1.510537;634;426;635;55
1.552422;634;426;635;55
1.586437;634;426;635;55
1.622823;634;426;635;55
1.655136;634;426;635;55
1.688187;634;426;635;55
1.720753;634;426;635;55
1.755766;634;426;635;55
1.788262;634;426;635;55
1.825374;634;426;636;55
1.863602;634;426;635;55
1.901292;634;426;635;55
1.933570;634;426;635;55
1.969304;634;426;635;55
2.002293;634;426;636;55
2.035061;634;426;635;55
2.067737;634;426;635;55
2.102849;634;426;636;55
2.136441;634;426;636;55
2.169005;634;426;636;55
2.203938;634;426;635;55
2.237124;634;426;635;55
2.269833;634;426;636;55
2.302555;634;426;635;55
2.335886;635;426;636;55
2.368535;637;426;636;55
2.401475;641;426;636;55
2.434422;646;426;636;55
2.467419;652;425;636;55
2.500491;659;425;636;55
2.533823;667;425;636;55
2.567784;675;424;636;55
2.600942;684;423;636;55
2.633966;694;422;637;55
2.666709;704;420;637;55
2.699296;715;419;637;55
2.732021;725;416;637;55
2.764612;736;414;637;55
2.798136;747;411;637;54
2.831361;757;408;637;54
2.864695;767;405;637;54
2.898210;777;402;637;54
2.931135;786;398;637;54
2.962719;795;395;637;54
2.995640;803;391;637;54
3.030440;811;388;809;409
3.066648;818;384;816;406
3.101881;825;381;823;402
3.148530;831;378;829;399
3.181115;836;375;835;396
3.213850;840;372;839;394
3.245827;843;371;841;393
3.278883;843;371;841;392
3.312476;842;371;840;393
3.344928;838;374;837;395
3.378370;832;377;830;398
3.411512;823;382;822;403
3.446259;812;387;811;409
3.479637;638;33;637;54
3.511484;638;33;637;54
3.545519;638;33;637;54
3.580512;638;33;637;54
3.618004;638;33;637;55
3.651540;638;33;637;55
3.686423;638;33;637;55
3.721062;638;33;637;55
3.757269;655;426;636;55
3.790126;637;426;636;55
3.903201;620;426;635;55
3.936235;605;425;635;55
3.973547;589;423;635;55
4.006490;637;32;635;55
4.041970;637;32;635;55
4.075231;546;416;635;55
4.108278;534;413;635;54
4.211261;522;410;635;54
4.245316;637;32;635;54
4.277257;497;402;635;54
4.310442;488;398;635;54
4.344661;480;395;635;54
4.377470;474;392;635;54
4.408999;472;391;635;54
4.445646;473;392;635;54
4.479094;477;393;635;54
4.512422;485;396;635;54
4.548229;496;401;635;54
4.579743;637;32;635;54
4.612934;530;411;635;54
4.646105;637;32;635;54
4.677838;637;32;635;55
4.714414;637;32;635;55
4.748035;637;32;635;55
4.781562;637;32;636;55
4.815051;638;33;636;55
4.846652;638;33;637;55
4.879832;638;33;637;55
4.912945;638;32;637;55
4.944619;765;406;637;54
4.977824;778;401;637;54
5.011247;788;397;636;54
5.044477;794;395;636;54
5.078133;797;394;636;54
5.117218;796;394;636;54
5.149034;792;396;636;54
5.182625;785;399;637;54
5.214492;776;402;637;54
5.247390;766;406;637;54
5.280634;754;409;637;54
5.314686;742;413;637;54
5.351761;729;416;637;55
5.386415;717;418;637;55
5.418860;704;420;637;55
5.595804;692;422;637;55
5.628359;682;423;637;55
5.663499;672;424;637;55
5.694879;664;425;636;55
5.727009;658;425;636;55
5.760039;653;426;636;55
5.793240;650;426;636;55
5.827056;648;426;636;55
5.862680;647;426;636;55
5.898761;645;426;636;55
5.934848;641;426;636;55
5.973836;636;426;636;55
6.014732;629;426;636;55
6.046725;621;425;635;55
6.079862;611;425;635;55
6.115127;601;424;635;55
6.153143;589;423;635;55
6.265665;577;421;635;55
6.299176;637;32;635;55
6.332935;551;417;635;55
6.372205;539;414;635;54
6.406619;527;411;635;54
6.439405;516;408;635;54
6.473564;506;405;635;54
6.513164;499;402;635;54
6.557836;494;400;635;54
6.596514;491;399;635;54
6.630004;492;399;635;54
6.667034;496;401;635;54
6.701177;502;403;635;54
6.736042;512;406;635;54
6.767885;525;410;635;54
