time;x;y
0.000000;118;219
0.021999;118;219
0.058045;117;219
0.090700;117;219
0.122387;116;219
0.158118;115;219
0.189815;114;218
0.222122;113;218
0.257822;111;218
0.289708;109;219
0.322156;106;218
0.358296;105;218
0.390398;105;219
0.422428;105;220
0.457951;105;221
0.490108;105;221
0.522361;105;222
0.558441;105;222
0.590224;105;223
0.622004;105;223
0.654125;105;223
0.690766;105;224
0.722563;105;224
0.754425;105;224
0.790461;105;224
0.821919;105;224
0.854431;105;223
0.890125;105;223
0.922030;105;222
0.954429;105;221
0.990738;105;221
1.022304;105;222
1.054159;114;225
1.090504;142;222
1.122467;144;222
1.154501;145;223
1.186208;146;225
1.222452;148;225
1.254547;149;225
1.286072;150;225
1.322576;151;224
1.354426;152;224
1.386506;153;224
1.422683;105;223
1.454187;105;223
1.486580;105;223
1.522080;160;304
1.554500;161;306
1.586473;162;308
1.622594;164;310
1.654512;167;314
1.687222;169;316
1.718107;172;318
1.755528;174;320
1.786128;176;323
1.818440;179;326
1.854576;183;329
1.886489;185;333
1.918574;198;332
1.954587;200;332
1.986330;202;332
2.018680;203;329
2.054594;204;330
2.086574;205;330
2.118288;205;331
2.154505;204;331
2.186545;105;171
2.218507;105;171
2.254573;105;172
2.286701;105;172
2.318481;105;172
2.350525;105;171
2.386619;105;170
2.418513;191;329
2.450668;189;329
2.486774;189;327
2.518700;188;327
2.550325;189;325
2.586587;189;343
2.618280;190;340
2.650495;183;341
2.686794;183;340
2.718325;181;340
2.750901;181;338
2.786271;180;336
2.818736;177;336
2.850533;175;334
2.882383;172;333
2.918870;169;331
2.950779;166;330
2.983132;453;259
3.018139;452;253
3.050775;452;249
3.083034;453;244
3.118855;154;320
3.150784;152;318
3.182682;151;316
3.218842;149;315
3.250824;149;313
3.282566;148;312
3.318767;148;311
3.350566;147;311
3.382362;105;227
3.414540;105;227
3.450638;105;227
3.482843;144;227
3.514805;142;227
3.550759;141;227
3.582422;140;227
3.614915;139;228
3.650847;139;228
3.682612;138;228
3.714947;138;228
3.750473;138;228
3.782530;138;228
3.814777;137;228
3.850680;138;228
3.882654;137;228
3.914650;137;228
3.950873;136;228
3.982486;135;228
4.014857;134;228
4.046752;133;228
4.082820;132;228
4.114768;131;228
4.146978;131;228
4.182827;130;228
4.214703;129;230
4.246296;129;230
4.282836;129;229
4.314754;128;229
4.346884;128;229
4.382901;128;229
4.414616;127;229
4.446655;128;228
4.482859;128;228
4.514970;128;228
4.546698;129;228
4.578767;129;228
4.614491;129;228
4.647067;130;228
4.679023;130;228
4.714530;130;228
4.746722;130;228
4.778704;129;228
4.814747;129;228
4.846599;129;228
4.878809;128;228
4.914924;128;228
4.946823;128;228
4.978675;128;227
5.015009;127;228
5.046984;127;228
5.078665;127;227
5.110552;127;227
5.146511;127;227
5.178348;127;227
5.211025;127;227
5.246743;127;227
5.278804;127;227
5.310589;127;227
5.346494;127;227
5.378866;127;227
5.411096;128;226
5.447062;128;226
5.478987;128;226
5.510661;127;226
5.546590;127;226
5.579864;127;226
5.610590;128;225
5.646630;127;225
5.678891;127;225
5.711062;127;225
5.743325;127;225
5.779118;127;225
5.810654;127;225
5.842826;127;225
5.878455;127;225
5.911207;126;226
5.943040;126;225
5.978907;450;202
6.010704;446;200
6.043012;430;198
6.080204;413;197
6.110825;399;196
6.142963;387;196
6.179159;377;196
6.211074;370;196
6.243035;364;197
6.274638;360;198
6.310766;357;199
6.342946;355;200
6.374649;356;200
6.411062;357;201
6.442581;358;201
6.475085;360;201
6.511134;361;201
6.543255;360;201
6.574638;359;201
6.611006;356;202
6.643337;353;203
6.675127;349;205
6.711218;345;207
6.743034;341;209
6.775741;338;210
6.807163;339;210
6.843181;341;210
6.875121;345;210
6.907316;352;209
6.943447;360;208
6.974882;368;207
7.007192;378;207
7.043259;387;207
7.074669;397;207
7.106803;406;208
7.143237;416;209
7.175053;425;210
