time;x1;y1;x2;y2
0.000000;308;70;232;214
0.031550;308;70;231;214
0.068155;308;70;230;213
0.099164;308;70;229;213
0.131578;308;70;228;212
0.167584;308;70;226;212
0.199886;308;70;223;213
0.261082;308;70;219;214
0.264864;308;70;228;212
0.300027;308;70;210;216
0.337828;308;70;207;217
0.367742;308;70;202;219
0.400388;308;70;198;221
0.431536;308;70;194;222
0.467830;308;70;190;223
0.498358;308;70;186;224
0.530606;308;70;183;225
0.566915;308;70;180;226
0.599149;308;70;178;227
0.630829;308;70;176;229
0.666404;308;70;175;229
0.701697;308;70;175;229
0.730699;308;70;175;229
0.766482;308;70;175;228
0.798834;308;70;175;228
0.830440;308;70;175;229
0.862632;308;70;175;229
0.898800;308;70;176;229
0.930650;308;70;176;229
0.970561;308;70;177;229
0.999869;308;70;178;229
1.030702;308;70;179;229
1.063231;308;70;180;229
1.104731;308;70;181;229
1.134605;308;70;182;229
1.163835;308;70;183;230
1.198545;308;70;184;230
1.230938;308;70;185;229
1.262898;308;70;186;229
1.299023;308;70;186;230
1.331158;308;70;187;230
1.362848;308;70;187;230
1.398957;308;70;187;230
1.430603;308;70;187;230
1.463957;308;70;187;230
1.495586;308;70;187;230
1.531829;308;70;186;231
1.567839;308;70;186;230
1.572473;308;70;187;230
1.629110;308;70;183;231
1.664869;308;70;183;230
1.697340;308;70;182;230
1.734993;308;70;181;230
1.760623;308;70;180;231
1.814298;308;70;179;231
1.830603;308;70;178;231
1.861177;308;70;177;231
1.895699;308;70;176;231
1.930945;308;70;175;231
1.962472;308;70;175;230
1.994454;308;70;174;231
2.026998;308;70;174;230
2.062432;308;70;173;231
2.094987;308;70;173;231
2.126679;308;70;173;231
2.162735;308;70;173;231
2.194366;308;70;173;231
2.228227;308;70;173;231
2.266752;308;70;173;230
2.294578;308;70;174;230
2.327701;308;70;175;229
2.363331;308;70;175;229
2.394483;308;70;177;228
2.426764;308;70;179;226
2.463378;308;70;182;225
2.494575;308;70;186;224
2.526660;308;70;190;223
2.559657;308;70;194;223
2.595357;308;70;199;221
2.626515;308;70;204;220
2.658507;308;70;208;221
2.694668;308;70;212;220
2.726535;308;70;216;220
2.763440;308;70;219;219
2.795148;308;70;222;218
2.848464;308;70;224;218
2.852702;308;70;216;220
2.896713;308;70;222;229
2.928715;308;70;222;229
2.959191;308;70;223;229
2.994620;308;70;223;229
3.028890;308;70;224;229
3.058844;308;70;224;230
3.094311;308;70;225;230
3.126292;308;70;227;230
3.158420;308;70;228;229
3.202186;308;70;229;229
3.207532;308;70;225;230
3.259398;308;70;233;233
3.291896;308;70;235;231
3.323959;308;70;237;231
3.346793;308;70;225;238
3.391885;308;70;246;231
3.423653;308;70;251;230
3.459424;308;70;256;230
3.492493;308;70;262;230
3.531487;308;70;266;229
3.559510;308;70;270;228
3.593089;308;70;276;227
3.623321;308;70;281;226
3.659896;308;70;284;226
3.691828;308;70;288;224
3.723220;308;70;290;222
3.759404;308;70;299;203
3.791333;308;70;300;204
3.823441;308;70;301;203
3.857727;308;70;302;203
3.891354;308;70;302;203
3.924261;308;70;301;204
3.955425;308;70;300;204
3.991397;308;70;298;204
4.024064;308;70;295;205
4.055305;308;70;292;204
4.091253;308;70;289;203
4.123416;308;70;285;203
4.160435;308;70;288;194
4.191452;308;70;283;196
4.230571;308;70;279;198
4.255497;308;70;276;199
4.291524;308;70;272;200
4.323552;308;70;270;201
4.355195;308;70;268;202
4.393678;308;70;267;202
4.423685;308;70;266;203
4.455273;308;70;266;202
4.488195;308;70;266;199
4.527919;308;70;276;364
4.555536;308;70;265;200
4.587903;308;70;276;366
4.621885;308;70;265;202
4.658119;308;70;267;202
4.694861;308;70;270;201
4.699265;308;70;276;366
4.755198;308;70;278;200
4.790303;308;70;283;200
4.822575;308;70;289;199
4.854309;308;70;295;198
4.886401;308;70;300;198
4.922482;308;70;305;197
4.954458;308;70;307;198
4.990996;308;70;306;359
5.023042;308;70;306;359
5.054620;308;70;306;359
5.088105;308;70;304;360
5.120562;308;70;302;361
5.155968;308;70;299;360
5.188075;308;70;295;360
5.219916;309;70;292;360
5.256494;309;70;288;360
5.288867;308;70;285;361
5.319804;308;70;282;361
5.356357;308;70;280;361
5.387908;308;70;278;360
5.419333;308;70;276;359
5.455484;308;70;275;358
5.487503;308;70;274;358
5.520652;308;70;272;358
5.551583;308;70;270;357
5.587830;308;70;266;355
5.619721;308;70;263;354
5.640614;308;70;272;358
5.679560;308;70;270;357
5.719391;308;70;249;354
5.751992;308;70;243;355
5.790643;308;70;238;356
5.823953;308;70;235;356
5.852663;308;70;232;355
5.888344;308;70;228;355
5.919270;308;70;225;356
5.952160;308;70;221;356
5.987561;308;70;218;356
6.020158;308;70;215;357
6.051601;308;70;211;357
6.083616;309;70;208;357
6.119945;308;70;203;356
6.153692;308;70;198;356
6.183290;308;70;192;356
6.219336;308;70;186;356
6.251643;309;70;180;356
6.283307;309;70;173;356
6.319409;308;70;168;357
6.351358;308;70;162;357
6.393237;308;70;158;357
6.394407;308;70;173;356
6.450403;308;70;150;358
6.486374;308;70;147;359
6.518340;308;70;144;359
6.550295;308;70;142;358
6.582306;308;70;140;357
6.618262;308;70;138;356
6.650383;308;70;137;355
6.682314;308;70;135;354
6.718336;308;70;134;353
6.750855;308;70;133;352
6.782483;308;70;131;350
6.829780;308;70;130;349
6.850697;308;70;129;348
6.882417;308;70;128;348
6.915893;308;70;128;347
6.951353;308;70;127;345
6.983742;308;70;126;344
7.016041;308;70;125;343
7.051605;308;70;125;343
7.083284;308;70;124;342
7.129215;308;70;122;342
7.151262;308;70;121;342
7.183219;308;70;118;341
7.215363;308;70;115;341
7.249012;308;70;100;177
7.284685;308;70;96;178
7.316478;308;70;91;179
7.348940;308;70;307;333
7.380348;308;70;306;336
7.416295;308;70;306;336
7.448323;308;70;305;337
7.480361;308;70;304;337
7.516292;308;70;303;337
7.548366;308;70;303;337
7.580314;308;70;302;337
7.616311;308;70;302;337
7.648941;308;70;303;337
7.682030;308;70;302;337
7.716283;308;70;303;337
7.748232;308;70;303;337
7.780262;308;70;303;337
7.816547;308;70;304;337
7.848259;308;70;304;337
7.880661;308;70;305;337
7.916753;308;70;305;336
7.949000;308;70;306;336
7.980662;308;70;308;334
8.012574;308;70;308;182
8.048549;308;70;315;185
8.080299;308;70;308;184
8.112305;308;70;308;183
8.148216;308;70;308;183
8.180296;308;70;330;169
8.212266;308;70;330;170
8.248718;308;70;330;169
8.280261;308;70;330;170
8.314242;308;70;330;169
8.348311;308;70;330;159
8.380448;308;70;330;159
8.412268;308;70;330;174
8.448379;308;70;330;159
8.480607;308;70;331;147
8.512283;308;70;129;179
8.544324;308;70;136;179
8.580317;308;70;144;179
8.612540;308;70;152;179
8.644298;308;70;161;179
8.680440;308;70;170;177
8.712444;308;70;178;176
8.744487;308;70;186;175
8.780401;308;70;35;320
8.812674;308;70;39;318
8.844364;308;70;42;316
8.888677;308;70;44;314
8.912283;308;70;44;313
8.944879;309;68;42;313
8.980470;209;154;39;315
9.026148;197;152;34;317
9.030409;176;145;175;143
9.078359;146;151;142;156
9.117374;26;262;105;160
9.122540;197;152;34;317
9.177536;232;127;227;138
9.209307;221;125;220;127
9.252239;208;124;207;125
9.277296;188;125;188;139
9.309409;164;126;165;140
9.345310;135;128;137;143
9.377458;99;132;99;131
9.409989;57;135;56;136
9.445423;309;70;130;256
9.477346;308;70;305;336
9.509389;308;70;303;337
9.547822;308;70;303;337
9.577261;308;70;303;337
9.610670;308;70;303;337
9.645231;308;70;303;337
9.677886;308;70;303;337
9.709257;308;70;303;337
9.746533;308;70;303;337
9.762569;308;70;303;337
9.810307;308;70;303;337
9.842333;308;70;303;337
9.878931;308;70;303;337
