time;x1;y1;x2;y2
0.000000;634;426;636;55
0.039915;634;426;636;55
0.071692;634;426;636;55
0.105048;634;426;636;55
0.140015;634;426;636;55
0.280877;634;426;636;55
0.349223;634;426;636;55
0.405097;634;426;636;55
0.456528;634;426;636;55
0.500308;634;426;636;55
0.551057;634;426;636;55
0.596215;634;426;636;55
0.639788;634;426;636;55
0.702839;634;426;636;55
0.783023;634;426;636;55
0.848423;634;426;636;55
0.894816;634;426;636;55
0.938896;634;426;636;55
0.988992;634;426;636;55
1.052393;634;426;636;55
1.120335;634;426;635;55
1.167038;634;426;636;55
1.223450;634;426;636;55
1.265117;634;426;635;55
1.310335;634;426;635;55
1.342568;634;426;635;55
1.397349;634;426;636;55
1.441047;634;426;635;55
1.488222;634;426;635;55
1.530066;634;426;635;55
1.582130;634;426;635;55
1.626204;634;426;635;55
1.668806;634;426;635;55
1.700313;634;426;635;55
1.742619;634;426;635;55
1.785244;634;426;636;55
1.827622;634;426;635;55
1.871944;634;426;635;55
1.904395;634;426;635;55
1.935984;634;426;635;55
1.967368;634;426;636;55
1.999693;634;426;635;55
2.049291;634;426;635;55
2.109470;634;426;635;55
2.157402;634;426;635;55
2.188546;634;426;635;55
2.236106;634;426;635;55
2.295776;634;426;635;55
2.343956;634;426;635;55
2.376671;634;426;635;55
2.408032;634;426;636;55
2.442704;634;426;635;55
2.482658;634;426;635;55
2.556729;634;426;635;55
2.600343;634;426;635;55
2.647377;634;426;636;55
2.685748;634;426;635;55
2.717751;634;426;635;55
2.778561;634;426;636;55
2.821819;634;426;636;55
2.871719;634;426;636;55
2.902984;634;426;635;55
2.936857;634;426;635;55
2.997591;634;426;636;55
3.040177;634;426;635;55
3.091720;635;426;636;55
3.128005;637;426;636;55
3.161879;641;426;636;55
3.223527;646;426;636;55
3.255793;652;425;636;55
3.290781;659;425;636;55
3.327748;667;425;636;55
3.377911;675;424;636;55
3.424916;684;423;636;55
3.468356;694;422;637;55
3.518298;704;420;637;55
3.549759;715;419;637;55
3.581028;725;416;637;55
3.644214;736;414;637;55
3.676863;747;411;637;54
3.727572;757;408;637;54
3.759288;767;405;637;54
3.791616;777;402;637;54
3.841845;786;398;637;54
3.893505;795;395;637;54
3.958393;803;391;637;54
3.996132;811;388;809;409
4.033815;818;384;816;406
4.071353;825;381;823;402
4.103940;831;378;829;399
4.138809;836;375;835;396
4.170172;840;372;839;394
4.204598;843;371;841;393
4.237223;843;371;841;392
4.269431;842;371;840;393
4.302361;838;374;837;395
4.335155;832;377;830;398
4.366490;823;382;822;403
4.400933;812;387;811;409
4.434101;638;33;637;54
4.466391;638;33;637;54
4.498529;638;33;637;54
4.530795;638;33;637;54
4.561964;638;33;637;55
4.593854;638;33;637;55
4.626027;638;33;637;55
4.658472;638;33;637;55
4.690947;655;426;636;55
4.728415;637;426;636;55
4.760390;620;426;635;55
4.792105;605;425;635;55
4.824551;589;423;635;55
4.856995;637;32;635;55
4.895154;637;32;635;55
4.926571;546;416;635;55
4.958669;534;413;635;54
4.992263;522;410;635;54
5.024867;637;32;635;54
5.058542;497;402;635;54
5.090836;488;398;635;54
5.122441;480;395;635;54
5.153572;474;392;635;54
5.185846;472;391;635;54
5.218680;473;392;635;54
5.251265;477;393;635;54
