Tempo (s);Thread 0 (%);Thread 1 (%);Thread 2 (%);Thread 3 (%)
0,30;43.6;15.8;14.3;10.3
0,90;84.4;0.0;5.1;5.0
1,45;82.9;3.7;7.5;7.4
2,02;82.2;5.3;8.9;3.4
2,62;84.8;1.7;10.2;5.0
3,19;18.9;83.0;27.3;23.2
3,78;24.1;84.0;24.1;23.7
4,36;21.4;48.1;18.2;3.5
4,95;3.4;84.0;6.9;3.4
5,53;10.7;79.2;8.8;3.5
6,12;81.6;1.7;5.2;3.4
6,69;83.7;3.5;9.1;7.0
7,22;9.3;80.4;7.7;3.9
