Tempo (s);Thread 0 (%);Thread 1 (%);Thread 2 (%);Thread 3 (%)
0,14;20.0;12.5;20.8;34.7
0,72;5.4;8.9;7.1;87.2
1,27;9.1;7.3;8.9;87.5
1,86;3.6;6.8;3.7;83.7
